# Specie reaction rates
# Region      : all region0
# Cells       : 1
# Volume      : 1.000000e-15
# nSpecie     : 2
# nReaction   : 1
# Time        	Reaction      	N2            	N             
1.2e-06       	0	3.436047e+02	1.718019e+02


2.64e-06      	0	1.975507e+02	9.877508e+01


4.368e-06     	0	1.215130e+02	6.075632e+01


6.4416e-06    	0	7.776149e+01	3.888063e+01


8.92992e-06   	0	5.103334e+01	2.551659e+01


1.19159e-05   	0	3.405943e+01	1.702967e+01


1.54991e-05   	0	2.299361e+01	1.149677e+01


1.97989e-05   	0	1.564696e+01	7.823456e+00


2.49587e-05   	0	1.070660e+01	5.353287e+00


3.11504e-05   	0	7.354151e+00	3.677065e+00


3.85805e-05   	0	5.064603e+00	2.532294e+00


4.74966e-05   	0	3.493918e+00	1.746954e+00


5.81959e-05   	0	2.413037e+00	1.206515e+00


7.10351e-05   	0	1.667656e+00	8.338254e-01


8.64421e-05   	0	1.152932e+00	5.764643e-01


0.000104931   	0	7.971897e-01	3.985937e-01


0.000127117   	0	5.512099e-01	2.756042e-01


0.00015374    	0	3.810912e-01	1.905450e-01


0.000185688   	0	2.634346e-01	1.317169e-01


0.000224026   	0	1.820692e-01	9.103434e-02


0.000270031   	0	1.258101e-01	6.290488e-02


0.000325237   	0	8.691839e-02	4.345907e-02


0.000391484   	0	6.003855e-02	3.001919e-02


0.000470981   	0	4.146474e-02	2.073231e-02


0.000566377   	0	2.863301e-02	1.431647e-02


0.000680853   	0	1.976988e-02	9.884914e-03


0.000818223   	0	1.364897e-02	6.824467e-03


0.000983068   	0	9.422453e-03	4.711213e-03


0.00118088    	0	6.504367e-03	3.252174e-03


0.00141826    	0	4.489845e-03	2.244916e-03


0.00170311    	0	3.099205e-03	1.549598e-03


0.00204493    	0	2.139284e-03	1.069639e-03


0.00245512    	0	1.476698e-03	7.383470e-04


0.00294734    	0	1.019354e-03	5.096758e-04


0.00353801    	0	7.036769e-04	3.518374e-04


0.00424681    	0	4.857800e-04	2.428893e-04


0.00509737    	0	3.353725e-04	1.676858e-04


0.00611805    	0	2.315471e-04	1.157732e-04


0.00734286    	0	1.598738e-04	7.993667e-05


0.00881263    	0	1.103934e-04	5.519655e-05


0.0105764     	0	7.623217e-05	3.811598e-05


0.0126928     	0	5.264579e-05	2.632282e-05


0.0152326     	0	3.635967e-05	1.817978e-05


0.0182803     	0	2.511352e-05	1.255673e-05


0.0219376     	0	1.734711e-05	8.673531e-06


0.0263263     	0	1.198336e-05	5.991663e-06


0.0315927     	0	8.278695e-06	4.139336e-06


0.0379125     	0	5.719747e-06	2.859866e-06


0.0454962     	0	3.952058e-06	1.976023e-06


0.0545966     	0	2.730869e-06	1.365431e-06


