# Reaction tracker
# Region      : all region0
# Cells       : 1
# Volume      : 1.000000e-15
# activityTolerance: 1.000000e-20
# Time        	ReactionName  	ReactionEquation	ActiveCellCount
1.2e-06       	N2dissociation	"N2 + N2 = 2N + N2"	1


2.64e-06      	N2dissociation	"N2 + N2 = 2N + N2"	1


4.368e-06     	N2dissociation	"N2 + N2 = 2N + N2"	1


6.4416e-06    	N2dissociation	"N2 + N2 = 2N + N2"	1


8.92992e-06   	N2dissociation	"N2 + N2 = 2N + N2"	1


1.19159e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


1.54991e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


1.97989e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


2.49587e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


3.11504e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


3.85805e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


4.74966e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


5.81959e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


7.10351e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


8.64421e-05   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000104931   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000127117   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00015374    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000185688   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000224026   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000270031   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000325237   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000391484   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000470981   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000566377   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000680853   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000818223   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.000983068   	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00118088    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00141826    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00170311    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00204493    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00245512    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00294734    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00353801    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00424681    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00509737    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00611805    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00734286    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.00881263    	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0105764     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0126928     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0152326     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0182803     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0219376     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0263263     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0315927     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0379125     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0454962     	N2dissociation	"N2 + N2 = 2N + N2"	1


0.0545966     	N2dissociation	"N2 + N2 = 2N + N2"	1


