Time (s),Temperature_tr
0.0,10000.0
1e-07,8431.26
2e-07,8431.26
3e-07,8431.26
4e-07,8431.26
5e-07,8431.26
6e-07,8431.26
7e-07,8431.26
8e-07,8431.26
9e-07,8431.26
1e-06,8431.26
1.1e-06,8431.26
1.2e-06,8431.26
1.3e-06,8431.26
1.4e-06,8431.26
1.5e-06,8431.26
1.6e-06,8431.26
1.7e-06,8431.26
1.8e-06,8431.26
1.9e-06,8431.26
2e-06,8431.26
2.1e-06,8431.26
2.2e-06,8431.26
2.3e-06,8431.26
2.4e-06,8431.26
2.5e-06,8431.26
2.6e-06,8431.26
2.7e-06,8431.26
2.8e-06,8431.26
2.9e-06,8431.26
3e-06,8431.26
3.1e-06,8431.26
3.2e-06,8431.26
3.3e-06,8431.26
3.4e-06,8431.26
3.5e-06,8431.26
3.6e-06,8431.26
3.7e-06,8431.26
3.8e-06,8431.26
3.9e-06,8431.26
4e-06,8431.26
4.1e-06,8431.26
4.2e-06,8431.26
4.3e-06,8431.26
4.4e-06,8431.26
4.5e-06,8431.26
4.6e-06,8431.26
4.7e-06,8431.26
4.8e-06,8431.26
4.9e-06,8431.26
5e-06,8431.26
5.1e-06,8431.26
5.2e-06,8431.26
5.3e-06,8431.26
5.4e-06,8431.26
5.5e-06,8431.26
5.6e-06,8431.26
5.7e-06,8431.26
5.8e-06,8431.26
5.9e-06,8431.26
6e-06,8431.26
6.1e-06,8431.26
6.2e-06,8431.26
6.3e-06,8431.26
6.4e-06,8431.26
6.5e-06,8431.26
6.6e-06,8431.26
6.7e-06,8431.26
6.8e-06,8431.26
6.9e-06,8431.26
7e-06,8431.26
7.1e-06,8431.26
7.2e-06,8431.26
7.3e-06,8431.26
7.4e-06,8431.26
7.5e-06,8431.26
7.6e-06,8431.26
7.7e-06,8431.26
7.8e-06,8431.26
7.9e-06,8431.26
8e-06,8431.26
8.1e-06,8431.26
8.2e-06,8431.26
8.3e-06,8431.26
8.4e-06,8431.26
8.5e-06,8431.26
8.6e-06,8431.26
8.7e-06,8431.26
8.8e-06,8431.26
8.9e-06,8431.26
9e-06,8431.26
9.1e-06,8431.26
9.2e-06,8431.26
9.3e-06,8431.26
9.4e-06,8431.26
9.5e-06,8431.26
9.6e-06,8431.26
9.7e-06,8431.26
9.8e-06,8431.26
9.9e-06,8431.26
1e-05,8431.26
