Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp","$ T_{vib, O_2} $ (nexaFoam)_Temp"
0.0,5000.0,5000.0,5000.0
1e-09,4913.83,29996.5,29946.5
2e-09,4917.68,29993.3,29895.8
3e-09,4925.97,29990.2,29845.4
4e-09,4935.57,29986.9,29794.9
5e-09,4945.57,29983.7,29744.2
6e-09,4955.73,29980.4,29693.2
7e-09,4965.97,29977.1,29642.0
8e-09,4976.28,29973.8,29590.5
9e-09,4986.64,29970.4,29538.8
1e-08,4997.06,29967.0,29486.9
1.1e-08,5007.53,29963.6,29434.7
1.2e-08,5018.06,29960.1,29382.2
1.3e-08,5028.65,29956.6,29329.5
1.4e-08,5039.29,29953.0,29276.5
1.5e-08,5049.99,29949.4,29223.2
1.6e-08,5060.74,29945.8,29169.7
1.7e-08,5071.56,29942.1,29115.9
1.8e-08,5082.43,29938.4,29061.9
1.9e-08,5093.36,29934.6,29007.6
2e-08,5104.35,29930.8,28953.0
2.1e-08,5115.4,29927.0,28898.1
2.2e-08,5126.5,29923.1,28843.0
2.3e-08,5137.67,29919.1,28787.6
2.4e-08,5148.9,29915.2,28732.0
2.5e-08,5160.18,29911.2,28676.0
2.6e-08,5171.53,29907.1,28619.8
2.7e-08,5182.94,29903.0,28563.3
2.8e-08,5194.41,29898.8,28506.6
2.9e-08,5205.94,29894.6,28449.5
3e-08,5217.54,29890.4,28392.2
3.1e-08,5229.2,29886.1,28334.6
3.2e-08,5240.92,29881.8,28276.7
3.3e-08,5252.7,29877.4,28218.6
3.4e-08,5264.55,29872.9,28160.1
3.5e-08,5276.46,29868.4,28101.4
3.6e-08,5288.43,29863.9,28042.4
3.7e-08,5300.47,29859.3,27983.1
3.8e-08,5312.58,29854.7,27923.5
3.9e-08,5324.75,29850.0,27863.6
4e-08,5336.98,29845.2,27803.4
4.1e-08,5349.28,29840.4,27742.9
4.2e-08,5361.65,29835.5,27682.2
4.3e-08,5374.08,29830.6,27621.1
4.4e-08,5386.59,29825.6,27559.8
4.5e-08,5399.15,29820.6,27498.1
4.6e-08,5411.79,29815.5,27436.2
4.7e-08,5424.5,29810.3,27373.9
4.8e-08,5437.27,29805.1,27311.4
4.9e-08,5450.11,29799.9,27248.6
5e-08,5463.02,29794.5,27185.4
5.1e-08,5476.0,29789.1,27122.0
5.2e-08,5489.05,29783.7,27058.3
5.3e-08,5502.17,29778.1,26994.2
5.4e-08,5515.36,29772.5,26929.9
5.5e-08,5528.62,29766.9,26865.2
5.6e-08,5541.95,29761.2,26800.3
5.7e-08,5555.36,29755.4,26735.0
5.8e-08,5568.83,29749.5,26669.5
5.9e-08,5582.38,29743.6,26603.6
6e-08,5595.99,29737.6,26537.4
6.1e-08,5609.69,29731.5,26471.0
6.2e-08,5623.45,29725.4,26404.2
6.3e-08,5637.29,29719.1,26337.1
6.4e-08,5651.2,29712.8,26269.7
6.5e-08,5665.18,29706.5,26202.0
6.6e-08,5679.24,29700.0,26134.0
6.7e-08,5693.37,29693.5,26065.6
6.8e-08,5707.58,29686.9,25997.0
6.9e-08,5721.86,29680.2,25928.1
7e-08,5736.21,29673.4,25858.8
7.1e-08,5750.64,29666.6,25789.3
7.2e-08,5765.15,29659.6,25719.4
7.3e-08,5779.73,29652.6,25649.2
7.4e-08,5794.39,29645.5,25578.7
7.5e-08,5809.12,29638.3,25507.9
7.6e-08,5823.93,29631.0,25436.8
7.7e-08,5838.82,29623.7,25365.4
7.8e-08,5853.78,29616.2,25293.7
7.9e-08,5868.83,29608.6,25221.7
8e-08,5883.94,29601.0,25149.3
8.1e-08,5899.14,29593.3,25076.7
8.2e-08,5914.41,29585.4,25003.7
8.3e-08,5929.76,29577.5,24930.5
8.4e-08,5945.19,29569.5,24856.9
8.5e-08,5960.69,29561.3,24783.1
8.6e-08,5976.28,29553.1,24708.9
8.7e-08,5991.94,29544.8,24634.4
8.8e-08,6007.68,29536.3,24559.7
8.9e-08,6023.5,29527.8,24484.6
9e-08,6039.39,29519.1,24409.2
9.1e-08,6055.37,29510.4,24333.6
9.2e-08,6071.42,29501.5,24257.6
9.3e-08,6087.56,29492.5,24181.4
9.4e-08,6103.77,29483.4,24104.8
9.5e-08,6120.06,29474.2,24028.0
9.6e-08,6136.43,29464.9,23950.8
9.7e-08,6152.87,29455.5,23873.4
9.8e-08,6169.4,29445.9,23795.7
9.9e-08,6186.0,29436.2,23717.7
1e-07,6202.69,29426.4,23639.4
1.01e-07,6219.45,29416.5,23560.9
1.02e-07,6236.29,29406.4,23482.1
1.03e-07,6253.21,29396.3,23402.9
1.04e-07,6270.21,29386.0,23323.6
1.05e-07,6287.28,29375.5,23243.9
1.06e-07,6304.44,29365.0,23164.0
1.07e-07,6321.67,29354.3,23083.8
1.08e-07,6338.98,29343.4,23003.3
1.09e-07,6356.36,29332.4,22922.6
1.1e-07,6373.83,29321.3,22841.7
1.11e-07,6391.37,29310.1,22760.4
1.12e-07,6408.99,29298.7,22679.0
1.13e-07,6426.69,29287.1,22597.2
1.14e-07,6444.46,29275.5,22515.3
1.15e-07,6462.31,29263.6,22433.1
1.16e-07,6480.23,29251.6,22350.6
1.17e-07,6498.23,29239.5,22268.0
1.18e-07,6516.31,29227.2,22185.1
1.19e-07,6534.46,29214.8,22101.9
1.2e-07,6552.68,29202.2,22018.6
1.21e-07,6570.98,29189.4,21935.0
1.22e-07,6589.36,29176.5,21851.2
1.23e-07,6607.8,29163.4,21767.3
1.24e-07,6626.32,29150.2,21683.1
1.25e-07,6644.91,29136.7,21598.7
1.26e-07,6663.58,29123.2,21514.1
1.27e-07,6682.31,29109.4,21429.4
1.28e-07,6701.12,29095.5,21344.4
1.29e-07,6719.99,29081.4,21259.3
1.3e-07,6738.94,29067.1,21174.0
1.31e-07,6757.95,29052.6,21088.5
1.32e-07,6777.04,29038.0,21002.9
1.33e-07,6796.19,29023.2,20917.1
1.34e-07,6815.4,29008.2,20831.2
1.35e-07,6834.69,28993.0,20745.2
1.36e-07,6854.04,28977.6,20659.0
1.37e-07,6873.45,28962.0,20572.6
1.38e-07,6892.93,28946.2,20486.2
1.39e-07,6912.47,28930.2,20399.6
1.4e-07,6932.08,28914.1,20313.0
1.41e-07,6951.74,28897.7,20226.2
1.42e-07,6971.47,28881.1,20139.3
1.43e-07,6991.25,28864.4,20052.4
1.44e-07,7011.1,28847.4,19965.3
1.45e-07,7031.0,28830.2,19878.2
1.46e-07,7050.96,28812.8,19791.0
1.47e-07,7070.98,28795.2,19703.8
1.48e-07,7091.05,28777.4,19616.5
1.49e-07,7111.17,28759.3,19529.2
1.5e-07,7131.35,28741.1,19441.9
1.51e-07,7151.58,28722.6,19354.5
1.52e-07,7171.86,28703.9,19267.1
1.53e-07,7192.18,28684.9,19179.7
1.54e-07,7212.56,28665.8,19092.3
1.55e-07,7232.99,28646.4,19004.9
1.56e-07,7253.46,28626.8,18917.5
1.57e-07,7273.97,28606.9,18830.2
1.58e-07,7294.53,28586.8,18742.9
1.59e-07,7315.13,28566.5,18655.6
1.6e-07,7335.77,28545.9,18568.4
1.61e-07,7356.45,28525.1,18481.3
1.62e-07,7377.17,28504.0,18394.2
1.63e-07,7397.92,28482.7,18307.2
1.64e-07,7418.71,28461.2,18220.3
1.65e-07,7439.54,28439.4,18133.5
1.66e-07,7460.39,28417.3,18046.9
1.67e-07,7481.28,28395.0,17960.3
1.68e-07,7502.2,28372.5,17873.9
1.69e-07,7523.14,28349.7,17787.6
1.7e-07,7544.11,28326.6,17701.5
1.71e-07,7565.11,28303.3,17615.5
1.72e-07,7586.13,28279.7,17529.7
1.73e-07,7607.17,28255.8,17444.1
1.74e-07,7628.24,28231.7,17358.7
1.75e-07,7649.32,28207.3,17273.5
1.76e-07,7670.42,28182.6,17188.5
1.77e-07,7691.53,28157.7,17103.8
1.78e-07,7712.66,28132.5,17019.2
1.79e-07,7733.8,28107.0,16935.0
1.8e-07,7754.95,28081.2,16850.9
1.81e-07,7776.11,28055.2,16767.2
1.82e-07,7797.28,28028.9,16683.7
1.83e-07,7818.45,28002.3,16600.5
1.84e-07,7839.63,27975.4,16517.6
1.85e-07,7860.81,27948.3,16435.0
1.86e-07,7881.99,27920.8,16352.8
1.87e-07,7903.17,27893.1,16270.9
1.88e-07,7924.34,27865.1,16189.3
1.89e-07,7945.52,27836.8,16108.0
1.9e-07,7966.68,27808.2,16027.1
1.91e-07,7987.84,27779.4,15946.6
1.92e-07,8008.99,27750.2,15866.5
1.93e-07,8030.12,27720.8,15786.8
1.94e-07,8051.25,27691.0,15707.5
1.95e-07,8072.36,27661.0,15628.5
1.96e-07,8093.45,27630.7,15550.0
1.97e-07,8114.52,27600.0,15472.0
1.98e-07,8135.58,27569.1,15394.4
1.99e-07,8156.61,27537.9,15317.2
2e-07,8177.62,27506.4,15240.5
2.01e-07,8198.6,27474.6,15164.3
2.02e-07,8219.56,27442.6,15088.5
2.03e-07,8240.49,27410.2,15013.2
2.04e-07,8261.39,27377.5,14938.5
2.05e-07,8282.26,27344.5,14864.2
2.06e-07,8303.09,27311.2,14790.4
2.07e-07,8323.89,27277.7,14717.2
2.08e-07,8344.66,27243.8,14644.5
2.09e-07,8365.38,27209.7,14572.4
2.1e-07,8386.07,27175.2,14500.8
2.11e-07,8406.71,27140.4,14429.7
2.12e-07,8427.32,27105.4,14359.3
2.13e-07,8447.87,27070.1,14289.4
2.14e-07,8468.39,27034.4,14220.0
2.15e-07,8488.85,26998.5,14151.3
2.16e-07,8509.27,26962.3,14083.1
2.17e-07,8529.64,26925.8,14015.6
2.18e-07,8549.95,26889.0,13948.7
2.19e-07,8570.21,26851.9,13882.3
2.2e-07,8590.42,26814.5,13816.6
2.21e-07,8610.58,26776.9,13751.6
2.22e-07,8630.67,26738.9,13687.1
2.23e-07,8650.71,26700.7,13623.3
2.24e-07,8670.69,26662.1,13560.2
2.25e-07,8690.61,26623.3,13497.6
2.26e-07,8710.46,26584.2,13435.8
2.27e-07,8730.26,26544.9,13374.6
2.28e-07,8749.99,26505.2,13314.0
2.29e-07,8769.65,26465.3,13254.2
2.3e-07,8789.25,26425.1,13195.0
2.31e-07,8808.78,26384.6,13136.4
2.32e-07,8828.24,26343.9,13078.6
2.33e-07,8847.64,26302.8,13021.4
2.34e-07,8866.96,26261.5,12965.0
2.35e-07,8886.21,26220.0,12909.2
2.36e-07,8905.39,26178.2,12854.1
2.37e-07,8924.49,26136.1,12799.6
2.38e-07,8943.52,26093.7,12745.9
