Time (s),Temperature_tr
0.0,5000.0
1e-09,4913.83
2e-09,4917.68
3e-09,4925.97
4e-09,4935.57
5e-09,4945.57
6e-09,4955.73
7e-09,4965.97
8e-09,4976.28
9e-09,4986.64
1e-08,4997.06
1.1e-08,5007.53
1.2e-08,5018.06
1.3e-08,5028.65
1.4e-08,5039.29
1.5e-08,5049.99
1.6e-08,5060.74
1.7e-08,5071.56
1.8e-08,5082.43
1.9e-08,5093.36
2e-08,5104.35
2.1e-08,5115.4
2.2e-08,5126.5
2.3e-08,5137.67
2.4e-08,5148.9
2.5e-08,5160.18
2.6e-08,5171.53
2.7e-08,5182.94
2.8e-08,5194.41
2.9e-08,5205.94
3e-08,5217.54
3.1e-08,5229.2
3.2e-08,5240.92
3.3e-08,5252.7
3.4e-08,5264.55
3.5e-08,5276.46
3.6e-08,5288.43
3.7e-08,5300.47
3.8e-08,5312.58
3.9e-08,5324.75
4e-08,5336.98
4.1e-08,5349.28
4.2e-08,5361.65
4.3e-08,5374.08
4.4e-08,5386.59
4.5e-08,5399.15
4.6e-08,5411.79
4.7e-08,5424.5
4.8e-08,5437.27
4.9e-08,5450.11
5e-08,5463.02
5.1e-08,5476.0
5.2e-08,5489.05
5.3e-08,5502.17
5.4e-08,5515.36
5.5e-08,5528.62
5.6e-08,5541.95
5.7e-08,5555.36
5.8e-08,5568.83
5.9e-08,5582.38
6e-08,5595.99
6.1e-08,5609.69
6.2e-08,5623.45
6.3e-08,5637.29
6.4e-08,5651.2
6.5e-08,5665.18
6.6e-08,5679.24
6.7e-08,5693.37
6.8e-08,5707.58
6.9e-08,5721.86
7e-08,5736.21
7.1e-08,5750.64
7.2e-08,5765.15
7.3e-08,5779.73
7.4e-08,5794.39
7.5e-08,5809.12
7.6e-08,5823.93
7.7e-08,5838.82
7.8e-08,5853.78
7.9e-08,5868.83
8e-08,5883.94
8.1e-08,5899.14
8.2e-08,5914.41
8.3e-08,5929.76
8.4e-08,5945.19
8.5e-08,5960.69
8.6e-08,5976.28
8.7e-08,5991.94
8.8e-08,6007.68
8.9e-08,6023.5
9e-08,6039.39
9.1e-08,6055.37
9.2e-08,6071.42
9.3e-08,6087.56
9.4e-08,6103.77
9.5e-08,6120.06
9.6e-08,6136.43
9.7e-08,6152.87
9.8e-08,6169.4
9.9e-08,6186.0
1e-07,6202.69
1.01e-07,6219.45
1.02e-07,6236.29
1.03e-07,6253.21
1.04e-07,6270.21
1.05e-07,6287.28
1.06e-07,6304.44
1.07e-07,6321.67
1.08e-07,6338.98
1.09e-07,6356.36
1.1e-07,6373.83
1.11e-07,6391.37
1.12e-07,6408.99
1.13e-07,6426.69
1.14e-07,6444.46
1.15e-07,6462.31
1.16e-07,6480.23
1.17e-07,6498.23
1.18e-07,6516.31
1.19e-07,6534.46
1.2e-07,6552.68
1.21e-07,6570.98
1.22e-07,6589.36
1.23e-07,6607.8
1.24e-07,6626.32
1.25e-07,6644.91
1.26e-07,6663.58
1.27e-07,6682.31
1.28e-07,6701.12
1.29e-07,6719.99
1.3e-07,6738.94
1.31e-07,6757.95
1.32e-07,6777.04
1.33e-07,6796.19
1.34e-07,6815.4
1.35e-07,6834.69
1.36e-07,6854.04
1.37e-07,6873.45
1.38e-07,6892.93
1.39e-07,6912.47
1.4e-07,6932.08
1.41e-07,6951.74
1.42e-07,6971.47
1.43e-07,6991.25
1.44e-07,7011.1
1.45e-07,7031.0
1.46e-07,7050.96
1.47e-07,7070.98
1.48e-07,7091.05
1.49e-07,7111.17
1.5e-07,7131.35
1.51e-07,7151.58
1.52e-07,7171.86
1.53e-07,7192.18
1.54e-07,7212.56
1.55e-07,7232.99
1.56e-07,7253.46
1.57e-07,7273.97
1.58e-07,7294.53
1.59e-07,7315.13
1.6e-07,7335.77
1.61e-07,7356.45
1.62e-07,7377.17
1.63e-07,7397.92
1.64e-07,7418.71
1.65e-07,7439.54
1.66e-07,7460.39
1.67e-07,7481.28
1.68e-07,7502.2
1.69e-07,7523.14
1.7e-07,7544.11
1.71e-07,7565.11
1.72e-07,7586.13
1.73e-07,7607.17
1.74e-07,7628.24
1.75e-07,7649.32
1.76e-07,7670.42
1.77e-07,7691.53
1.78e-07,7712.66
1.79e-07,7733.8
1.8e-07,7754.95
1.81e-07,7776.11
1.82e-07,7797.28
1.83e-07,7818.45
1.84e-07,7839.63
1.85e-07,7860.81
1.86e-07,7881.99
1.87e-07,7903.17
1.88e-07,7924.34
1.89e-07,7945.52
1.9e-07,7966.68
1.91e-07,7987.84
1.92e-07,8008.99
1.93e-07,8030.12
1.94e-07,8051.25
1.95e-07,8072.36
1.96e-07,8093.45
1.97e-07,8114.52
1.98e-07,8135.58
1.99e-07,8156.61
2e-07,8177.62
2.01e-07,8198.6
2.02e-07,8219.56
2.03e-07,8240.49
2.04e-07,8261.39
2.05e-07,8282.26
2.06e-07,8303.09
2.07e-07,8323.89
2.08e-07,8344.66
2.09e-07,8365.38
2.1e-07,8386.07
2.11e-07,8406.71
2.12e-07,8427.32
2.13e-07,8447.87
2.14e-07,8468.39
2.15e-07,8488.85
2.16e-07,8509.27
2.17e-07,8529.64
2.18e-07,8549.95
2.19e-07,8570.21
2.2e-07,8590.42
2.21e-07,8610.58
2.22e-07,8630.67
2.23e-07,8650.71
2.24e-07,8670.69
2.25e-07,8690.61
2.26e-07,8710.46
2.27e-07,8730.26
2.28e-07,8749.99
2.29e-07,8769.65
2.3e-07,8789.25
2.31e-07,8808.78
2.32e-07,8828.24
2.33e-07,8847.64
2.34e-07,8866.96
2.35e-07,8886.21
2.36e-07,8905.39
2.37e-07,8924.49
2.38e-07,8943.52
2.39e-07,8962.48
2.4e-07,8981.36
2.41e-07,9000.17
2.42e-07,9018.89
2.43e-07,9037.54
2.44e-07,9056.11
2.45e-07,9074.6
2.46e-07,9093.02
2.47e-07,9111.35
2.48e-07,9129.6
2.49e-07,9147.77
2.5e-07,9165.86
2.51e-07,9183.86
2.52e-07,9201.78
2.53e-07,9219.62
2.54e-07,9237.38
2.55e-07,9255.05
2.56e-07,9272.63
2.57e-07,9290.14
2.58e-07,9307.55
2.59e-07,9324.89
2.6e-07,9342.13
2.61e-07,9359.3
2.62e-07,9376.37
2.63e-07,9393.36
2.64e-07,9410.27
2.65e-07,9427.09
2.66e-07,9443.82
2.67e-07,9460.46
2.68e-07,9477.02
2.69e-07,9493.5
2.7e-07,9509.89
2.71e-07,9526.19
2.72e-07,9542.41
2.73e-07,9558.54
2.74e-07,9574.58
2.75e-07,9590.54
2.76e-07,9606.41
2.77e-07,9622.2
2.78e-07,9637.91
2.79e-07,9653.53
2.8e-07,9669.06
2.81e-07,9684.51
2.82e-07,9699.87
2.83e-07,9715.15
2.84e-07,9730.35
2.85e-07,9745.47
2.86e-07,9760.5
2.87e-07,9775.44
2.88e-07,9790.31
2.89e-07,9805.09
2.9e-07,9819.79
2.91e-07,9834.41
2.92e-07,9848.95
2.93e-07,9863.41
2.94e-07,9877.79
2.95e-07,9892.08
2.96e-07,9906.3
2.97e-07,9920.44
2.98e-07,9934.5
2.99e-07,9948.48
3e-07,9962.38
3.01e-07,9976.21
3.02e-07,9989.96
3.03e-07,10003.6
3.04e-07,10017.2
3.05e-07,10030.7
3.06e-07,10044.2
3.07e-07,10057.6
3.08e-07,10070.8
