Time (s),Temperature_tr
0.0,5000.0
1e-09,29996.5
2e-09,29993.3
3e-09,29990.2
4e-09,29986.9
5e-09,29983.7
6e-09,29980.4
7e-09,29977.1
8e-09,29973.8
9e-09,29970.4
1e-08,29967.0
1.1e-08,29963.6
1.2e-08,29960.1
1.3e-08,29956.6
1.4e-08,29953.0
1.5e-08,29949.4
1.6e-08,29945.8
1.7e-08,29942.1
1.8e-08,29938.4
1.9e-08,29934.6
2e-08,29930.8
2.1e-08,29927.0
2.2e-08,29923.1
2.3e-08,29919.1
2.4e-08,29915.2
2.5e-08,29911.2
2.6e-08,29907.1
2.7e-08,29903.0
2.8e-08,29898.8
2.9e-08,29894.6
3e-08,29890.4
3.1e-08,29886.1
3.2e-08,29881.8
3.3e-08,29877.4
3.4e-08,29872.9
3.5e-08,29868.4
3.6e-08,29863.9
3.7e-08,29859.3
3.8e-08,29854.7
3.9e-08,29850.0
4e-08,29845.2
4.1e-08,29840.4
4.2e-08,29835.5
4.3e-08,29830.6
4.4e-08,29825.6
4.5e-08,29820.6
4.6e-08,29815.5
4.7e-08,29810.3
4.8e-08,29805.1
4.9e-08,29799.9
5e-08,29794.5
5.1e-08,29789.1
5.2e-08,29783.7
5.3e-08,29778.1
5.4e-08,29772.5
5.5e-08,29766.9
5.6e-08,29761.2
5.7e-08,29755.4
5.8e-08,29749.5
5.9e-08,29743.6
6e-08,29737.6
6.1e-08,29731.5
6.2e-08,29725.4
6.3e-08,29719.1
6.4e-08,29712.8
6.5e-08,29706.5
6.6e-08,29700.0
6.7e-08,29693.5
6.8e-08,29686.9
6.9e-08,29680.2
7e-08,29673.4
7.1e-08,29666.6
7.2e-08,29659.6
7.3e-08,29652.6
7.4e-08,29645.5
7.5e-08,29638.3
7.6e-08,29631.0
7.7e-08,29623.7
7.8e-08,29616.2
7.9e-08,29608.6
8e-08,29601.0
8.1e-08,29593.3
8.2e-08,29585.4
8.3e-08,29577.5
8.4e-08,29569.5
8.5e-08,29561.3
8.6e-08,29553.1
8.7e-08,29544.8
8.8e-08,29536.3
8.9e-08,29527.8
9e-08,29519.1
9.1e-08,29510.4
9.2e-08,29501.5
9.3e-08,29492.5
9.4e-08,29483.4
9.5e-08,29474.2
9.6e-08,29464.9
9.7e-08,29455.5
9.8e-08,29445.9
9.9e-08,29436.2
1e-07,29426.4
1.01e-07,29416.5
1.02e-07,29406.4
1.03e-07,29396.3
1.04e-07,29386.0
1.05e-07,29375.5
1.06e-07,29365.0
1.07e-07,29354.3
1.08e-07,29343.4
1.09e-07,29332.4
1.1e-07,29321.3
1.11e-07,29310.1
1.12e-07,29298.7
1.13e-07,29287.1
1.14e-07,29275.5
1.15e-07,29263.6
1.16e-07,29251.6
1.17e-07,29239.5
1.18e-07,29227.2
1.19e-07,29214.8
1.2e-07,29202.2
1.21e-07,29189.4
1.22e-07,29176.5
1.23e-07,29163.4
1.24e-07,29150.2
1.25e-07,29136.7
1.26e-07,29123.2
1.27e-07,29109.4
1.28e-07,29095.5
1.29e-07,29081.4
1.3e-07,29067.1
1.31e-07,29052.6
1.32e-07,29038.0
1.33e-07,29023.2
1.34e-07,29008.2
1.35e-07,28993.0
1.36e-07,28977.6
1.37e-07,28962.0
1.38e-07,28946.2
1.39e-07,28930.2
1.4e-07,28914.1
1.41e-07,28897.7
1.42e-07,28881.1
1.43e-07,28864.4
