Time (s),Temperature_tr
0.0,5000.0
1e-09,29946.5
2e-09,29895.8
3e-09,29845.4
4e-09,29794.9
5e-09,29744.2
6e-09,29693.2
7e-09,29642.0
8e-09,29590.5
9e-09,29538.8
1e-08,29486.9
1.1e-08,29434.7
1.2e-08,29382.2
1.3e-08,29329.5
1.4e-08,29276.5
1.5e-08,29223.2
1.6e-08,29169.7
1.7e-08,29115.9
1.8e-08,29061.9
1.9e-08,29007.6
2e-08,28953.0
2.1e-08,28898.1
2.2e-08,28843.0
2.3e-08,28787.6
2.4e-08,28732.0
2.5e-08,28676.0
2.6e-08,28619.8
2.7e-08,28563.3
2.8e-08,28506.6
2.9e-08,28449.5
3e-08,28392.2
3.1e-08,28334.6
3.2e-08,28276.7
3.3e-08,28218.6
3.4e-08,28160.1
3.5e-08,28101.4
3.6e-08,28042.4
3.7e-08,27983.1
3.8e-08,27923.5
3.9e-08,27863.6
4e-08,27803.4
4.1e-08,27742.9
4.2e-08,27682.2
4.3e-08,27621.1
4.4e-08,27559.8
4.5e-08,27498.1
4.6e-08,27436.2
4.7e-08,27373.9
4.8e-08,27311.4
4.9e-08,27248.6
5e-08,27185.4
5.1e-08,27122.0
5.2e-08,27058.3
5.3e-08,26994.2
5.4e-08,26929.9
5.5e-08,26865.2
5.6e-08,26800.3
5.7e-08,26735.0
5.8e-08,26669.5
5.9e-08,26603.6
6e-08,26537.4
6.1e-08,26471.0
6.2e-08,26404.2
6.3e-08,26337.1
6.4e-08,26269.7
6.5e-08,26202.0
6.6e-08,26134.0
6.7e-08,26065.6
6.8e-08,25997.0
6.9e-08,25928.1
7e-08,25858.8
7.1e-08,25789.3
7.2e-08,25719.4
7.3e-08,25649.2
7.4e-08,25578.7
7.5e-08,25507.9
7.6e-08,25436.8
7.7e-08,25365.4
7.8e-08,25293.7
7.9e-08,25221.7
8e-08,25149.3
8.1e-08,25076.7
8.2e-08,25003.7
8.3e-08,24930.5
8.4e-08,24856.9
8.5e-08,24783.1
8.6e-08,24708.9
8.7e-08,24634.4
8.8e-08,24559.7
8.9e-08,24484.6
9e-08,24409.2
9.1e-08,24333.6
9.2e-08,24257.6
9.3e-08,24181.4
9.4e-08,24104.8
9.5e-08,24028.0
9.6e-08,23950.8
9.7e-08,23873.4
9.8e-08,23795.7
9.9e-08,23717.7
1e-07,23639.4
1.01e-07,23560.9
1.02e-07,23482.1
1.03e-07,23402.9
1.04e-07,23323.6
1.05e-07,23243.9
1.06e-07,23164.0
1.07e-07,23083.8
1.08e-07,23003.3
1.09e-07,22922.6
1.1e-07,22841.7
1.11e-07,22760.4
1.12e-07,22679.0
1.13e-07,22597.2
1.14e-07,22515.3
1.15e-07,22433.1
1.16e-07,22350.6
1.17e-07,22268.0
1.18e-07,22185.1
1.19e-07,22101.9
1.2e-07,22018.6
1.21e-07,21935.0
1.22e-07,21851.2
1.23e-07,21767.3
1.24e-07,21683.1
1.25e-07,21598.7
1.26e-07,21514.1
1.27e-07,21429.4
1.28e-07,21344.4
1.29e-07,21259.3
1.3e-07,21174.0
1.31e-07,21088.5
1.32e-07,21002.9
1.33e-07,20917.1
1.34e-07,20831.2
1.35e-07,20745.2
1.36e-07,20659.0
1.37e-07,20572.6
1.38e-07,20486.2
1.39e-07,20399.6
1.4e-07,20313.0
1.41e-07,20226.2
1.42e-07,20139.3
1.43e-07,20052.4
1.44e-07,19965.3
1.45e-07,19878.2
1.46e-07,19791.0
1.47e-07,19703.8
1.48e-07,19616.5
1.49e-07,19529.2
1.5e-07,19441.9
1.51e-07,19354.5
1.52e-07,19267.1
1.53e-07,19179.7
1.54e-07,19092.3
1.55e-07,19004.9
1.56e-07,18917.5
1.57e-07,18830.2
1.58e-07,18742.9
1.59e-07,18655.6
1.6e-07,18568.4
1.61e-07,18481.3
1.62e-07,18394.2
1.63e-07,18307.2
1.64e-07,18220.3
1.65e-07,18133.5
1.66e-07,18046.9
1.67e-07,17960.3
1.68e-07,17873.9
1.69e-07,17787.6
1.7e-07,17701.5
1.71e-07,17615.5
1.72e-07,17529.7
1.73e-07,17444.1
1.74e-07,17358.7
1.75e-07,17273.5
1.76e-07,17188.5
1.77e-07,17103.8
1.78e-07,17019.2
1.79e-07,16935.0
1.8e-07,16850.9
1.81e-07,16767.2
1.82e-07,16683.7
1.83e-07,16600.5
1.84e-07,16517.6
1.85e-07,16435.0
1.86e-07,16352.8
1.87e-07,16270.9
1.88e-07,16189.3
1.89e-07,16108.0
1.9e-07,16027.1
1.91e-07,15946.6
1.92e-07,15866.5
1.93e-07,15786.8
1.94e-07,15707.5
1.95e-07,15628.5
1.96e-07,15550.0
1.97e-07,15472.0
1.98e-07,15394.4
1.99e-07,15317.2
2e-07,15240.5
2.01e-07,15164.3
2.02e-07,15088.5
2.03e-07,15013.2
2.04e-07,14938.5
2.05e-07,14864.2
2.06e-07,14790.4
2.07e-07,14717.2
2.08e-07,14644.5
2.09e-07,14572.4
2.1e-07,14500.8
2.11e-07,14429.7
2.12e-07,14359.3
2.13e-07,14289.4
2.14e-07,14220.0
2.15e-07,14151.3
2.16e-07,14083.1
2.17e-07,14015.6
2.18e-07,13948.7
2.19e-07,13882.3
2.2e-07,13816.6
2.21e-07,13751.6
2.22e-07,13687.1
2.23e-07,13623.3
2.24e-07,13560.2
2.25e-07,13497.6
2.26e-07,13435.8
2.27e-07,13374.6
2.28e-07,13314.0
2.29e-07,13254.2
2.3e-07,13195.0
2.31e-07,13136.4
2.32e-07,13078.6
2.33e-07,13021.4
2.34e-07,12965.0
2.35e-07,12909.2
2.36e-07,12854.1
2.37e-07,12799.6
2.38e-07,12745.9
2.39e-07,12692.9
2.4e-07,12640.6
2.41e-07,12589.0
2.42e-07,12538.0
2.43e-07,12487.8
2.44e-07,12438.3
2.45e-07,12389.5
2.46e-07,12341.4
2.47e-07,12294.0
2.48e-07,12247.3
2.49e-07,12201.3
2.5e-07,12156.0
2.51e-07,12111.4
2.52e-07,12067.5
2.53e-07,12024.3
2.54e-07,11981.8
2.55e-07,11940.0
2.56e-07,11898.9
2.57e-07,11858.5
2.58e-07,11818.8
2.59e-07,11779.8
2.6e-07,11741.4
2.61e-07,11703.8
2.62e-07,11666.8
2.63e-07,11630.5
2.64e-07,11594.9
2.65e-07,11559.9
2.66e-07,11525.6
2.67e-07,11492.0
2.68e-07,11459.0
2.69e-07,11426.7
2.7e-07,11395.1
2.71e-07,11364.1
2.72e-07,11333.7
2.73e-07,11304.0
2.74e-07,11274.9
2.75e-07,11246.4
2.76e-07,11218.6
2.77e-07,11191.3
2.78e-07,11164.7
2.79e-07,11138.7
2.8e-07,11113.3
2.81e-07,11088.5
2.82e-07,11064.3
2.83e-07,11040.7
2.84e-07,11017.6
2.85e-07,10995.2
2.86e-07,10973.3
2.87e-07,10951.9
2.88e-07,10931.2
2.89e-07,10910.9
2.9e-07,10891.3
2.91e-07,10872.1
2.92e-07,10853.5
2.93e-07,10835.4
2.94e-07,10817.9
2.95e-07,10800.8
2.96e-07,10784.3
2.97e-07,10768.3
2.98e-07,10752.7
2.99e-07,10737.7
3e-07,10723.1
3.01e-07,10709.0
3.02e-07,10695.4
3.03e-07,10682.2
3.04e-07,10669.5
3.05e-07,10657.3
3.06e-07,10645.5
3.07e-07,10634.1
3.08e-07,10623.2
3.09e-07,10612.7
3.1e-07,10602.6
3.11e-07,10592.9
3.12e-07,10583.7
3.13e-07,10574.8
3.14e-07,10566.3
3.15e-07,10558.2
3.16e-07,10550.5
3.17e-07,10543.2
3.18e-07,10536.2
3.19e-07,10529.6
3.2e-07,10523.4
3.21e-07,10517.5
3.22e-07,10511.9
3.23e-07,10506.7
3.24e-07,10501.8
3.25e-07,10497.3
3.26e-07,10493.1
3.27e-07,10489.1
3.28e-07,10485.5
3.29e-07,10482.2
3.3e-07,10479.2
3.31e-07,10476.5
3.32e-07,10474.1
3.33e-07,10471.9
3.34e-07,10470.1
3.35e-07,10468.4
3.36e-07,10467.1
3.37e-07,10466.0
3.38e-07,10465.2
3.39e-07,10464.6
3.4e-07,10464.3
3.41e-07,10464.2
3.42e-07,10464.3
3.43e-07,10464.7
3.44e-07,10465.3
3.45e-07,10466.1
3.46e-07,10467.1
3.47e-07,10468.3
3.48e-07,10469.7
3.49e-07,10471.4
3.5e-07,10473.2
3.51e-07,10475.2
3.52e-07,10477.4
3.53e-07,10479.8
3.54e-07,10482.3
3.55e-07,10485.1
3.56e-07,10488.0
3.57e-07,10491.0
3.58e-07,10494.2
3.59e-07,10497.6
3.6e-07,10501.1
3.61e-07,10504.8
3.62e-07,10508.6
3.63e-07,10512.6
3.64e-07,10516.7
3.65e-07,10520.9
3.66e-07,10525.3
3.67e-07,10529.8
3.68e-07,10534.4
3.69e-07,10539.1
3.7e-07,10544.0
3.71e-07,10548.9
3.72e-07,10554.0
3.73e-07,10559.2
3.74e-07,10564.4
3.75e-07,10569.8
3.76e-07,10575.3
3.77e-07,10580.8
3.78e-07,10586.5
3.79e-07,10592.2
3.8e-07,10598.0
3.81e-07,10603.9
3.82e-07,10609.9
3.83e-07,10616.0
3.84e-07,10622.1
3.85e-07,10628.3
3.86e-07,10634.6
3.87e-07,10640.9
3.88e-07,10647.3
3.89e-07,10653.7
3.9e-07,10660.2
3.91e-07,10666.8
3.92e-07,10673.4
3.93e-07,10680.1
3.94e-07,10686.8
3.95e-07,10693.6
3.96e-07,10700.4
3.97e-07,10707.3
3.98e-07,10714.2
3.99e-07,10721.1
4e-07,10728.1
4.01e-07,10735.1
4.02e-07,10742.1
4.03e-07,10749.2
4.04e-07,10756.3
4.05e-07,10763.4
4.06e-07,10770.5
4.07e-07,10777.7
4.08e-07,10784.9
4.09e-07,10792.1
4.1e-07,10799.3
4.11e-07,10806.6
4.12e-07,10813.8
4.13e-07,10821.1
4.14e-07,10828.4
4.15e-07,10835.7
4.16e-07,10843.0
4.17e-07,10850.4
4.18e-07,10857.7
4.19e-07,10865.0
4.2e-07,10872.4
4.21e-07,10879.7
4.22e-07,10887.0
4.23e-07,10894.4
4.24e-07,10901.7
4.25e-07,10909.1
4.26e-07,10916.4
4.27e-07,10923.7
4.28e-07,10931.1
4.29e-07,10938.4
4.3e-07,10945.7
4.31e-07,10953.0
4.32e-07,10960.3
4.33e-07,10967.6
4.34e-07,10974.9
4.35e-07,10982.2
4.36e-07,10989.5
4.37e-07,10996.7
4.38e-07,11003.9
4.39e-07,11011.2
4.4e-07,11018.4
4.41e-07,11025.6
4.42e-07,11032.7
4.43e-07,11039.9
4.44e-07,11047.0
4.45e-07,11054.1
4.46e-07,11061.2
4.47e-07,11068.3
4.48e-07,11075.4
4.49e-07,11082.4
4.5e-07,11089.4
4.51e-07,11096.4
4.52e-07,11103.4
4.53e-07,11110.3
4.54e-07,11117.2
4.55e-07,11124.1
4.56e-07,11131.0
4.57e-07,11137.8
4.58e-07,11144.7
4.59e-07,11151.5
4.6e-07,11158.2
4.61e-07,11165.0
4.62e-07,11171.7
4.63e-07,11178.4
4.64e-07,11185.0
4.65e-07,11191.6
4.66e-07,11198.2
4.67e-07,11204.8
4.68e-07,11211.3
4.69e-07,11217.9
4.7e-07,11224.3
4.71e-07,11230.8
4.72e-07,11237.2
4.73e-07,11243.6
4.74e-07,11249.9
4.75e-07,11256.3
4.76e-07,11262.6
4.77e-07,11268.8
4.78e-07,11275.0
4.79e-07,11281.2
4.8e-07,11287.4
4.81e-07,11293.5
4.82e-07,11299.6
4.83e-07,11305.7
4.84e-07,11311.7
4.85e-07,11317.7
4.86e-07,11323.7
4.87e-07,11329.6
4.88e-07,11335.5
4.89e-07,11341.4
4.9e-07,11347.2
4.91e-07,11353.0
4.92e-07,11358.8
4.93e-07,11364.5
4.94e-07,11370.2
4.95e-07,11375.9
4.96e-07,11381.5
4.97e-07,11387.1
4.98e-07,11392.7
4.99e-07,11398.2
5e-07,11403.7
5.01e-07,11409.2
5.02e-07,11414.6
5.03e-07,11420.0
5.04e-07,11425.3
5.05e-07,11430.6
5.06e-07,11435.9
5.07e-07,11441.2
5.08e-07,11446.4
5.09e-07,11451.6
5.1e-07,11456.7
5.11e-07,11461.9
5.12e-07,11466.9
5.13e-07,11472.0
5.14e-07,11477.0
5.15e-07,11482.0
5.16e-07,11486.9
5.17e-07,11491.8
5.18e-07,11496.7
5.19e-07,11501.6
5.2e-07,11506.4
5.21e-07,11511.1
5.22e-07,11515.9
5.23e-07,11520.6
5.24e-07,11525.3
5.25e-07,11529.9
5.26e-07,11534.5
5.27e-07,11539.1
5.28e-07,11543.7
5.29e-07,11548.2
5.3e-07,11552.7
5.31e-07,11557.1
5.32e-07,11561.5
5.33e-07,11565.9
5.34e-07,11570.2
5.35e-07,11574.6
5.36e-07,11578.9
5.37e-07,11583.1
5.38e-07,11587.3
5.39e-07,11591.5
5.4e-07,11595.7
5.41e-07,11599.8
5.42e-07,11603.9
5.43e-07,11608.0
5.44e-07,11612.0
5.45e-07,11616.0
5.46e-07,11620.0
5.47e-07,11623.9
5.48e-07,11627.8
5.49e-07,11631.7
5.5e-07,11635.6
5.51e-07,11639.4
5.52e-07,11643.2
5.53e-07,11646.9
5.54e-07,11650.7
5.55e-07,11654.4
5.56e-07,11658.0
5.57e-07,11661.7
5.58e-07,11665.3
5.59e-07,11668.9
5.6e-07,11672.4
5.61e-07,11676.0
5.62e-07,11679.5
5.63e-07,11682.9
5.64e-07,11686.4
5.65e-07,11689.8
5.66e-07,11693.2
5.67e-07,11696.5
5.68e-07,11699.9
5.69e-07,11703.2
5.7e-07,11706.5
5.71e-07,11709.7
5.72e-07,11712.9
5.73e-07,11716.1
5.74e-07,11719.3
5.75e-07,11722.4
5.76e-07,11725.6
5.77e-07,11728.7
5.78e-07,11731.7
5.79e-07,11734.8
5.8e-07,11737.8
5.81e-07,11740.8
5.82e-07,11743.7
5.83e-07,11746.7
5.84e-07,11749.6
5.85e-07,11752.5
5.86e-07,11755.3
5.87e-07,11758.2
5.88e-07,11761.0
5.89e-07,11763.8
5.9e-07,11766.6
5.91e-07,11769.3
5.92e-07,11772.0
5.93e-07,11774.7
5.94e-07,11777.4
5.95e-07,11780.1
5.96e-07,11782.7
5.97e-07,11785.3
5.98e-07,11787.9
5.99e-07,11790.4
6e-07,11793.0
6.01e-07,11795.5
6.02e-07,11798.0
6.03e-07,11800.5
6.04e-07,11802.9
6.05e-07,11805.3
6.06e-07,11807.7
6.07e-07,11810.1
6.08e-07,11812.5
6.09e-07,11814.8
6.1e-07,11817.2
6.11e-07,11819.5
6.12e-07,11821.7
6.13e-07,11824.0
6.14e-07,11826.2
6.15e-07,11828.5
6.16e-07,11830.7
6.17e-07,11832.9
6.18e-07,11835.0
6.19e-07,11837.2
6.2e-07,11839.3
6.21e-07,11841.4
6.22e-07,11843.5
6.23e-07,11845.5
6.24e-07,11847.6
6.25e-07,11849.6
6.26e-07,11851.6
6.27e-07,11853.6
6.28e-07,11855.6
6.29e-07,11857.6
6.3e-07,11859.5
6.31e-07,11861.4
6.32e-07,11863.3
6.33e-07,11865.2
6.34e-07,11867.1
6.35e-07,11868.9
6.36e-07,11870.8
6.37e-07,11872.6
6.38e-07,11874.4
6.39e-07,11876.2
6.4e-07,11877.9
6.41e-07,11879.7
6.42e-07,11881.4
6.43e-07,11883.2
6.44e-07,11884.9
6.45e-07,11886.6
6.46e-07,11888.2
6.47e-07,11889.9
6.48e-07,11891.5
6.49e-07,11893.2
6.5e-07,11894.8
6.51e-07,11896.4
6.52e-07,11897.9
6.53e-07,11899.5
6.54e-07,11901.1
6.55e-07,11902.6
6.56e-07,11904.1
6.57e-07,11905.6
6.58e-07,11907.1
6.59e-07,11908.6
6.6e-07,11910.1
6.61e-07,11911.5
6.62e-07,11913.0
6.63e-07,11914.4
6.64e-07,11915.8
6.65e-07,11917.2
6.66e-07,11918.6
6.67e-07,11920.0
6.68e-07,11921.3
6.69e-07,11922.7
6.7e-07,11924.0
6.71e-07,11925.3
6.72e-07,11926.6
6.73e-07,11927.9
6.74e-07,11929.2
6.75e-07,11930.5
6.76e-07,11931.8
6.77e-07,11933.0
