x,p,U_0,U_1,U_2
-5,82807.4,0,0,0
-4.94975,82808,10.3069,0,0
-4.8995,82927.7,18.6871,0,0
-4.84925,83050.1,27.034,0,0
-4.79899,83356.8,33.1962,0,0
-4.74874,83647.9,39.3206,0,0
-4.69849,83332.7,43.9751,0,0
-4.64824,83003.8,48.5717,0,0
-4.59799,82297.6,51.571,0,0
-4.54774,81584.4,54.5445,0,0
-4.49749,80723.4,56.9697,0,0
-4.44724,79862.9,59.3938,0,0
-4.39698,79009.9,61.7995,0,0
-4.34673,78159.8,64.2131,0,0
-4.29648,77352,66.7405,0,0
-4.24623,76546.7,69.2738,0,0
-4.19598,75771.5,71.8795,0,0
-4.14573,74997.7,74.4867,0,0
-4.09548,74238.5,77.1113,0,0
-4.04523,73480.4,79.7356,0,0
-3.99497,72732,82.3574,0,0
-3.94472,71984.8,84.9788,0,0
-3.89447,71247.9,87.5986,0,0
-3.84422,70512.4,90.2185,0,0
-3.79397,69787.8,92.8401,0,0
-3.74372,69064.8,95.4622,0,0
-3.69347,68352.8,98.0876,0,0
-3.64322,67642.4,100.713,0,0
-3.59296,66942.1,103.342,0,0
-3.54271,66243.6,105.971,0,0
-3.49246,65556.3,108.605,0,0
-3.44221,64870.3,111.239,0,0
-3.39196,64191.7,113.873,0,0
-3.34171,63516.1,116.509,0,0
-3.29146,62856,119.156,0,0
-3.24121,62195.4,121.799,0,0
-3.19095,61532.1,124.426,0,0
-3.1407,60877,127.06,0,0
-3.09045,60257.8,129.73,0,0
-3.0402,59628.9,132.382,0,0
-2.98995,58960.2,134.965,0,0
-2.9397,58318.2,137.575,0,0
-2.88945,57779.5,140.292,0,0
-2.8392,57200.6,142.958,0,0
-2.78894,56475.1,145.435,0,0
-2.73869,55825.1,147.984,0,0
-2.68844,55435.4,150.784,0,0
-2.63819,54936.4,153.483,0,0
-2.58794,54081.6,155.854,0,0
-2.53769,53386.6,158.34,0,0
-2.48744,53184.3,161.181,0,0
-2.43719,52782.7,163.916,0,0
-2.38693,51799.1,166.347,0,0
-2.33668,51051.9,168.846,0,0
-2.28643,50960.4,171.533,0,0
-2.23618,50626.4,174.208,0,0
-2.18593,49652.8,176.851,0,0
-2.13568,48922.6,179.444,0,0
-2.08543,48802.9,181.909,0,0
-2.03518,48464.8,184.455,0,0
-1.98492,47605,187.197,0,0
-1.93467,46945.4,189.839,0,0
-1.88442,46742.4,192.252,0,0
-1.83417,46373.5,194.781,0,0
-1.78392,45644.1,197.561,0,0
-1.73367,45052.2,200.217,0,0
-1.68342,44746,202.612,0,0
-1.63317,44339,205.131,0,0
-1.58291,43731.7,207.898,0,0
-1.53266,43205.8,210.573,0,0
-1.48241,42834.3,213.073,0,0
-1.43216,42407.3,215.656,0,0
-1.38191,41879.5,218.39,0,0
-1.33166,41391.9,221.047,0,0
-1.28141,40974.7,223.571,0,0
-1.23116,40537.6,226.156,0,0
-1.1809,40067.5,228.84,0,0
-1.13065,39617.7,231.5,0,0
-1.0804,39200.1,234.12,0,0
-1.03015,38776.7,236.762,0,0
-0.979899,38344.1,239.438,0,0
-0.929648,37916.3,242.075,0,0
-0.879397,37495.5,244.657,0,0
-0.829146,37077.1,247.226,0,0
-0.778894,36662.2,249.777,0,0
-0.728643,36261.2,252.359,0,0
-0.678392,35879.2,254.982,0,0
-0.628141,35499.6,257.591,0,0
-0.577889,35123.2,260.182,0,0
-0.527638,34743.5,262.681,0,0
-0.477387,34359.6,265.066,0,0
-0.427136,33994.7,267.442,0,0
-0.376884,33652.7,269.808,0,0
-0.326633,33334.2,272.227,0,0
-0.276382,33042.8,274.705,0,0
-0.226131,32748.2,276.952,0,0
-0.175879,32450.2,278.942,0,0
-0.125628,32174.3,280.545,0,0
-0.0753769,31922,281.735,0,0
-0.0251256,31739.3,282.757,0,0
0.0251256,31627.7,283.606,0,0
0.0753769,31565.7,283.983,0,0
0.125628,31552.2,283.896,0,0
0.175879,31629.4,284.005,0,0
0.226131,31791.9,284.298,0,0
0.276382,31923.6,284.589,0,0
0.326633,32027.3,284.878,0,0
0.376884,31982.7,284.387,0,0
0.427136,31809.3,283.218,0,0
0.477387,31620,281.919,0,0
0.527638,31417.4,280.511,0,0
0.577889,31401.9,280.119,0,0
0.628141,31536.3,280.543,0,0
0.678392,31825.7,282.637,0,0
0.728643,32234.3,286.016,0,0
0.778894,32442.7,287.918,0,0
0.829146,32503.1,288.728,0,0
0.879397,32163.9,286.343,0,0
0.929648,31541.1,281.692,0,0
0.979899,31157.1,278.61,0,0
1.03015,30935.7,276.597,0,0
1.0804,31099.3,277.115,0,0
1.13065,31514.3,279.286,0,0
1.1809,32015.6,283.315,0,0
1.23116,32571,288.505,0,0
1.28141,32774.9,290.775,0,0
1.33166,32767.8,291.293,0,0
1.38191,32191,287.075,0,0
1.43216,31286.6,280.134,0,0
1.48241,30872.1,276.514,0,0
1.53266,30727.1,274.722,0,0
1.58291,31010.4,275.791,0,0
1.63317,31519.4,278.367,0,0
1.68342,32099.2,283.102,0,0
1.73367,32714.7,288.924,0,0
1.78392,32895.9,290.954,0,0
1.83417,32868.1,291.158,0,0
1.88442,32340.1,287.3,0,0
1.93467,31582.2,281.574,0,0
1.98492,31141.1,277.961,0,0
2.03518,30839.1,275.275,0,0
2.08543,30976.1,275.385,0,0
2.13568,31296.8,276.665,0,0
2.18593,31895.1,281.462,0,0
2.23618,32604.1,287.66,0,0
2.28643,32759.2,289.159,0,0
2.33668,32704.3,288.875,0,0
2.38693,32472.8,287.266,0,0
2.43719,32177.7,285.179,0,0
2.48744,31681.8,281.191,0,0
2.53769,31117.2,276.552,0,0
2.58794,31063.6,275.42,0,0
2.63819,31175.8,275.426,0,0
2.68844,31526.4,277.518,0,0
2.73869,31950.2,280.251,0,0
2.78894,32381.8,283.937,0,0
2.8392,32815.7,287.901,0,0
2.88945,32835.3,288.277,0,0
2.9397,32741.5,287.671,0,0
2.98995,32458.6,285.603,0,0
3.0402,32126.9,283.159,0,0
3.09045,31683.2,279.67,0,0
3.1407,31212.3,275.93,0,0
3.19095,31241,275.797,0,0
3.24121,31383.1,276.483,0,0
3.29146,31556.3,277.045,0,0
3.34171,31736.1,277.581,0,0
3.39196,32033.9,282.124,0,0
3.44221,32354.9,287.46,0,0
3.49246,33422.1,285.16,0,0
3.54271,34626.2,281.46,0,0
3.59296,44987.8,209.785,0,0
3.64322,56902.5,126.582,0,0
3.69347,72174.7,78.2826,0,0
3.74372,87971,35.431,0,0
3.79397,91869.3,19.7818,0,0
3.84422,94067.8,8.01869,0,0
3.89447,95017,13.1096,0,0
3.94472,95803.9,20.3906,0,0
3.99497,95758.9,23.6325,0,0
4.04523,95616.3,26.4006,0,0
4.09548,95961.5,25.5986,0,0
4.14573,96357.9,24.4217,0,0
4.19598,94547.2,22.0932,0,0
4.24623,92531.6,19.6577,0,0
4.29648,92594.2,17.81,0,0
4.34673,92825.4,16.0099,0,0
4.39698,90854.5,12.7887,0,0
4.44724,88730.5,9.46878,0,0
4.49749,89511.6,7.47638,0,0
4.54774,90461.9,5.56125,0,0
4.59799,88859.5,4.09816,0,0
4.64824,87136.8,2.65638,0,0
4.69849,88534.7,1.97497,0,0
4.74874,90045.8,1.32115,0,0
4.79899,88442.6,1.51695,0,0
4.84925,86759.5,1.73453,0,0
4.8995,87173.1,-0.677628,0,0
4.94975,87618.7,-3.12983,0,0
5,87620.9,0,0,0
